,Sample,Cluster
0,GSM1051989,cluster_1
1,GSM1051996,cluster_1
2,GSM1051921,cluster_1
3,GSM1051645,cluster_1
4,GSM1051948,cluster_1
5,GSM1051617,cluster_1
6,GSM1052043,cluster_1
7,GSM1051527,cluster_1
8,GSM1051613,cluster_1
9,GSM1051646,cluster_1
10,GSM1052164,cluster_1
11,GSM1051939,cluster_1
12,GSM1051888,cluster_1
13,GSM1051753,cluster_2
14,GSM1051603,cluster_2
15,GSM1051804,cluster_2
16,GSM1051533,cluster_2
17,GSM1051755,cluster_2
18,GSM1051812,cluster_2
19,GSM1051851,cluster_2
20,GSM1051612,cluster_2
21,GSM1051747,cluster_2
22,GSM1052007,cluster_2
23,GSM1051547,cluster_2
24,GSM1051602,cluster_2
25,GSM1051672,cluster_2
26,GSM1051914,cluster_2
27,GSM1052190,cluster_2
28,GSM1051714,cluster_2
29,GSM1051566,cluster_2
30,GSM1051557,cluster_2
31,GSM1051571,cluster_2
32,GSM1051808,cluster_2
33,GSM1052111,cluster_2
34,GSM1051827,cluster_2
35,GSM1051564,cluster_2
36,GSM1051884,cluster_2
37,GSM1051574,cluster_2
38,GSM1051860,cluster_2
39,GSM1051726,cluster_2
40,GSM1051623,cluster_2
41,GSM1051992,cluster_2
42,GSM1052046,cluster_2
43,GSM1052028,cluster_2
44,GSM1052037,outlier
45,GSM1052213,cluster_3
46,GSM1051787,cluster_3
47,GSM1051761,cluster_3
48,GSM1051653,cluster_3
49,GSM1051712,cluster_3
